,PLAN,AVANCE_CARRERA,ACCESO,SUBACCESO,CONVOCATORIA,T_DOCUMENTO,GENERO,EDAD,NUMERO_MATRICULAS,PAPA,PBM_CALCULADO,ESTRATO,MUNICIPIO_RESIDENCIA,PROVINCIA_NACIMIENTO,MUNICIPIO_NACIMIENTO,PAIS-NACIONALIDAD,VICTIMAS_DEL_CONFLICTO,DISCAPACIDAD,CARACTER_COLEGIO,PUNTAJE_ADMISION
249,ESTADÍSTICA,7.1,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-2S,NUMERO DE CEDULA,HOMBRE,21,4.0,3.1,3,1,,DPTO EXTRANJERO,CIUDAD EXTRANJERO,VENEZUELA,NO,NO,Plantel Privado,447.584
250,INGENIERÍA BIOLÓGICA,19.8,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-2S,NUMERO DE CEDULA,HOMBRE,18,4.0,4.3,16,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Privado,560.799
251,GEOGRAFÍA,22.0,TRASLADO,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-2S,NUMERO DE CEDULA,MUJER,24,2.0,4.3,1,1,,CESAR,SAN DIEGO,COLOMBIA,NO,NO,Plantel Oficial,
252,GESTIÓN CULTURAL Y COMUNICATIVA,18.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-2S,NUMERO DE CEDULA,MUJER,18,4.0,4.1,9,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,425.051
253,INGENIERÍA MECATRÓNICA,20.9,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-2S,NUMERO DE CEDULA,HOMBRE,19,4.0,4.1,4,1,,CESAR,LA PAZ,COLOMBIA,NO,NO,Plantel Oficial,619.467
254,BIOLOGÍA,21.2,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-2S,NUMERO DE CEDULA,MUJER,20,4.0,3.8,1,1,,DPTO EXTRANJERO,CIUDAD EXTRANJERO,VENEZUELA,NO,NO,Plantel Oficial,401.996
255,GESTIÓN CULTURAL Y COMUNICATIVA,20.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-2S,NUMERO DE CEDULA,HOMBRE,20,4.0,4.1,11,1,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Privado,402.405
256,GESTIÓN CULTURAL Y COMUNICATIVA,18.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-2S,NUMERO DE CEDULA,MUJER,19,4.0,4.3,2,1,,LA GUAJIRA,RIOHACHA,COLOMBIA,NO,NO,Plantel Oficial,437.537
257,ESTADÍSTICA,13.5,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-2S,NUMERO DE CEDULA,HOMBRE,20,4.0,3.8,10,1,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Privado,422.518
258,INGENIERÍA MECATRÓNICA,9.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,"PAES - POBLACION NEGRA, AFROCOLOMBIANA, PALENQUERA Y RAIZAL",2023-1S,TARJETA IDENTIDAD,HOMBRE,18,3.0,3.9,12,1,,CESAR,EL COPEY,COLOMBIA,NO,NO,Plantel Oficial,647.655
259,GEOGRAFÍA,9.9,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,VÍCTIMAS DEL CONFLICTO ARMADO EN COLOMBIA,2023-1S,TARJETA IDENTIDAD,MUJER,18,3.0,3.4,1,1,,CESAR,LA PAZ,COLOMBIA,SI,NO,Plantel Oficial,409.301
260,ESTADÍSTICA,10.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-1S,TARJETA IDENTIDAD,HOMBRE,17,3.0,4.2,6,2,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,525.626
261,ESTADÍSTICA,10.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PAES - INDÍGENA,2023-1S,TARJETA IDENTIDAD,HOMBRE,17,3.0,4.2,7,1,,SUCRE,SINCELEJO,COLOMBIA,NO,NO,Plantel Oficial,474.748
262,ESTADÍSTICA,12.9,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-1S,TARJETA IDENTIDAD,HOMBRE,16,3.0,4.0,3,1,,CESAR,AGUSTÍN CODAZZI,COLOMBIA,NO,NO,Plantel Oficial,415.563
263,ESTADÍSTICA,9.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,VÍCTIMAS DEL CONFLICTO ARMADO EN COLOMBIA,2023-1S,NUMERO DE CEDULA,MUJER,18,3.0,3.7,1,1,LA PAZ,CESAR,LA PAZ,COLOMBIA,SI,NO,Plantel Oficial,392.934
264,BIOLOGÍA,8.9,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-1S,TARJETA IDENTIDAD,HOMBRE,17,3.0,4.1,55,3,,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLOMBIA,NO,NO,Plantel Privado,505.89
265,ESTADÍSTICA,10.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PAES - INDÍGENA,2023-1S,TARJETA IDENTIDAD,MUJER,18,3.0,3.9,7,0,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,455.867
266,BIOLOGÍA,10.6,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-1S,TARJETA IDENTIDAD,MUJER,18,3.0,4.2,2,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,616.082
267,INGENIERÍA MECATRÓNICA,9.9,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-1S,NUMERO DE CEDULA,HOMBRE,18,3.0,3.5,64,7,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Privado,562.64
268,ESTADÍSTICA,7.1,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-1S,TARJETA IDENTIDAD,HOMBRE,18,3.0,3.7,14,1,,ATLÁNTICO,BARRANQUILLA,COLOMBIA,NO,NO,Plantel Oficial,474.468
269,INGENIERÍA BIOLÓGICA,9.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,VÍCTIMAS DEL CONFLICTO ARMADO EN COLOMBIA,2023-1S,NUMERO DE CEDULA,MUJER,24,3.0,4.1,5,1,,CESAR,AGUSTÍN CODAZZI,COLOMBIA,SI,NO,Plantel Oficial,458.566
270,ESTADÍSTICA,12.9,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,VÍCTIMAS DEL CONFLICTO ARMADO EN COLOMBIA,2023-1S,NUMERO DE CEDULA,HOMBRE,19,3.0,4.0,4,1,,CESAR,LA PAZ,COLOMBIA,SI,NO,Plantel Oficial,471.394
271,INGENIERÍA MECATRÓNICA,11.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-1S,TARJETA IDENTIDAD,HOMBRE,18,3.0,4.2,51,3,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Privado,632.022
272,ESTADÍSTICA,4.5,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-2S,TARJETA IDENTIDAD,HOMBRE,18,2.0,4.0,22,1,SAN DIEGO,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,491.093
273,GEOGRAFÍA,5.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,VÍCTIMAS DEL CONFLICTO ARMADO EN COLOMBIA,2023-1S,NUMERO DE CEDULA,HOMBRE,19,2.0,3.2,2,1,,DPTO EXTRANJERO,CIUDAD EXTRANJERO,VENEZUELA,SI,NO,Plantel Oficial,425.481
274,INGENIERÍA BIOLÓGICA,0.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,VÍCTIMAS DEL CONFLICTO ARMADO EN COLOMBIA,2024-1S,TARJETA IDENTIDAD,HOMBRE,18,,,47,2,,CESAR,VALLEDUPAR,COLOMBIA,SI,NO,Plantel Privado,529.337
275,ESTADÍSTICA,0.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2024-1S,TARJETA IDENTIDAD,MUJER,16,,,38,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,479.648
276,BIOLOGÍA,0.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,VÍCTIMAS DEL CONFLICTO ARMADO EN COLOMBIA,2024-1S,NUMERO DE CEDULA,HOMBRE,20,,,41,2,,CESAR,LA PAZ,COLOMBIA,SI,NO,Plantel Oficial,448.867
277,GESTIÓN CULTURAL Y COMUNICATIVA,0.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,VÍCTIMAS DEL CONFLICTO ARMADO EN COLOMBIA,2024-1S,NUMERO DE CEDULA,MUJER,19,,,6,2,,CESAR,AGUSTÍN CODAZZI,COLOMBIA,SI,NO,Plantel Oficial,425.025
278,GEOGRAFÍA,0.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,VÍCTIMAS DEL CONFLICTO ARMADO EN COLOMBIA,2024-1S,NUMERO DE CEDULA,MUJER,19,,,34,1,,CESAR,LA PAZ,COLOMBIA,SI,NO,Plantel Oficial,403.792
279,GEOGRAFÍA,5.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-2S,NUMERO DE CEDULA,MUJER,22,2.0,4.3,4,2,,CESAR,LA PAZ,COLOMBIA,NO,NO,Plantel Oficial,328.138
280,GEOGRAFÍA,2.8,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-2S,NUMERO DE CEDULA,HOMBRE,19,2.0,3.4,19,2,,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLOMBIA,NO,NO,Plantel Privado,441.198
281,ESTADÍSTICA,5.8,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-2S,NUMERO DE CEDULA,HOMBRE,25,2.0,3.2,11,1,BOSCONIA,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Privado,341.411
282,ESTADÍSTICA,4.5,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-2S,TARJETA IDENTIDAD,HOMBRE,18,2.0,3.9,37,2,,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLOMBIA,NO,NO,Plantel Privado,438.015
283,GESTIÓN CULTURAL Y COMUNICATIVA,0.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,VÍCTIMAS DEL CONFLICTO ARMADO EN COLOMBIA,2024-1S,NUMERO DE CEDULA,MUJER,18,,,64,7,,CESAR,VALLEDUPAR,COLOMBIA,SI,NO,Plantel Oficial,522.576
284,INGENIERÍA MECATRÓNICA,0.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2024-1S,NUMERO DE CEDULA,HOMBRE,19,,,39,2,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,567.847
285,GEOGRAFÍA,0.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,VÍCTIMAS DEL CONFLICTO ARMADO EN COLOMBIA,2024-1S,NUMERO DE CEDULA,HOMBRE,18,,,61,7,,SANTANDER,BUCARAMANGA,COLOMBIA,SI,NO,Plantel Oficial,462.569
286,GESTIÓN CULTURAL Y COMUNICATIVA,0.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,"PAES - POBLACION NEGRA, AFROCOLOMBIANA, PALENQUERA Y RAIZAL",2024-1S,TARJETA IDENTIDAD,MUJER,17,,,2,1,,CESAR,ASTREA,COLOMBIA,NO,NO,Plantel Oficial,470.694
287,INGENIERÍA MECATRÓNICA,3.8,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-2S,TARJETA IDENTIDAD,HOMBRE,18,2.0,4.4,4,1,,,,VENEZUELA,NO,NO,Plantel Oficial,888.484
288,INGENIERÍA MECATRÓNICA,4.9,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-2S,TARJETA IDENTIDAD,HOMBRE,17,2.0,4.4,44,2,,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLOMBIA,NO,NO,Plantel Privado,733.703
289,INGENIERÍA MECATRÓNICA,3.8,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-2S,TARJETA IDENTIDAD,HOMBRE,18,2.0,4.3,19,3,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,596.535
290,INGENIERÍA MECATRÓNICA,2.2,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-2S,TARJETA IDENTIDAD,MUJER,17,2.0,4.5,46,3,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Privado,652.199
291,INGENIERÍA MECATRÓNICA,3.8,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-2S,TARJETA IDENTIDAD,HOMBRE,17,2.0,4.6,24,1,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Privado,673.278
292,INGENIERÍA MECATRÓNICA,3.8,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-2S,TARJETA IDENTIDAD,MUJER,18,2.0,4.6,14,2,MANAURE BALCÓN DEL CESAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,539.343
293,INGENIERÍA BIOLÓGICA,6.2,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-2S,NUMERO DE CEDULA,HOMBRE,20,2.0,3.3,30,3,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Privado,663.86
294,INGENIERÍA BIOLÓGICA,0.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2024-1S,TARJETA IDENTIDAD,HOMBRE,17,,,20,2,,CÓRDOBA,MONTERÍA,COLOMBIA,NO,NO,Plantel Oficial,472.867
295,GEOGRAFÍA,0.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,VÍCTIMAS DEL CONFLICTO ARMADO EN COLOMBIA,2024-1S,TARJETA IDENTIDAD,HOMBRE,18,,,2,1,,CESAR,LA PAZ,COLOMBIA,SI,NO,Plantel Oficial,478.129
296,INGENIERÍA BIOLÓGICA,0.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,VÍCTIMAS DEL CONFLICTO ARMADO EN COLOMBIA,2024-1S,NUMERO DE CEDULA,HOMBRE,24,,,36,1,,CESAR,SAN DIEGO,COLOMBIA,SI,NO,Nocturno,462.727
297,GEOGRAFÍA,86.5,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,HOMBRE,21,10.0,4.4,14,1,LA PAZ,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
298,GESTIÓN CULTURAL Y COMUNICATIVA,76.7,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,MUJER,24,10.0,4.5,8,2,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
299,INGENIERÍA BIOLÓGICA,74.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,MUJER,21,9.0,4.3,1,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
300,GESTIÓN CULTURAL Y COMUNICATIVA,76.7,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,MUJER,21,9.0,4.1,3,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
301,BIOLOGÍA,60.9,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,MUJER,21,9.0,4.1,9,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
302,INGENIERÍA MECATRÓNICA,53.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,HOMBRE,21,9.0,4.0,6,1,,CESAR,LA PAZ,COLOMBIA,NO,NO,Plantel Oficial,
303,BIOLOGÍA,60.9,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,MUJER,22,9.0,4.0,7,2,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
304,ESTADÍSTICA,47.1,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,HOMBRE,22,9.0,3.8,3,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
305,GEOGRAFÍA,80.1,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,MUJER,23,10.0,4.3,1,1,VALLEDUPAR,CESAR,BECERRIL,COLOMBIA,NO,NO,Plantel Oficial,
306,INGENIERÍA MECATRÓNICA,52.7,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,TARJETA IDENTIDAD,HOMBRE,22,10.0,3.8,11,1,AGUSTÍN CODAZZI,CESAR,BECERRIL,COLOMBIA,NO,NO,Plantel Oficial,
307,GESTIÓN CULTURAL Y COMUNICATIVA,76.7,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,HOMBRE,22,10.0,4.4,7,2,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
308,GEOGRAFÍA,76.6,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,HOMBRE,23,9.0,4.1,2,1,AGUSTÍN CODAZZI,MAGDALENA,PLATO,COLOMBIA,NO,NO,Plantel Oficial,
309,INGENIERÍA MECATRÓNICA,60.4,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,MUJER,20,9.0,4.3,17,2,VALLEDUPAR,MAGDALENA,SANTA MARTA,COLOMBIA,NO,NO,Plantel Oficial,
310,INGENIERÍA BIOLÓGICA,90.4,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,HOMBRE,21,10.0,4.1,9,2,,CESAR,LA PAZ,COLOMBIA,NO,NO,Plantel Oficial,
311,ESTADÍSTICA,16.1,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,TARJETA IDENTIDAD,HOMBRE,22,7.0,3.0,8,2,,CESAR,LA PAZ,COLOMBIA,NO,NO,Plantel Oficial,
312,BIOLOGÍA,50.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,MUJER,21,9.0,3.7,2,1,,CESAR,AGUSTÍN CODAZZI,COLOMBIA,NO,NO,Plantel Oficial,
313,BIOLOGÍA,72.6,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,HOMBRE,22,10.0,4.0,1,1,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
314,BIOLOGÍA,77.7,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,MUJER,22,10.0,4.0,5,2,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
315,GEOGRAFÍA,68.1,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,HOMBRE,21,9.0,4.0,4,0,,CESAR,LA PAZ,COLOMBIA,NO,NO,Plantel Oficial,
316,GEOGRAFÍA,76.6,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,MUJER,21,9.0,4.1,1,1,,CESAR,LA PAZ,COLOMBIA,NO,NO,Plantel Oficial,
317,INGENIERÍA BIOLÓGICA,71.8,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,MUJER,20,9.0,4.2,5,1,,CESAR,SAN DIEGO,COLOMBIA,NO,NO,Plantel Oficial,
318,ESTADÍSTICA,84.5,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,HOMBRE,23,10.0,4.2,2,1,LA PAZ,CESAR,AGUSTÍN CODAZZI,COLOMBIA,NO,NO,Plantel Oficial,
319,ESTADÍSTICA,76.1,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,HOMBRE,23,10.0,4.2,6,1,LA PAZ,CESAR,LA JAGUA DE IBIRICO,COLOMBIA,NO,NO,Plantel Oficial,
320,BIOLOGÍA,70.9,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,MUJER,23,10.0,4.0,3,1,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
321,BIOLOGÍA,64.8,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,MUJER,25,9.0,3.9,18,2,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
322,GEOGRAFÍA,82.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,MUJER,36,10.0,3.8,5,2,SAN DIEGO,CESAR,SAN DIEGO,COLOMBIA,NO,NO,Plantel Oficial,
323,ESTADÍSTICA,82.6,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,MUJER,28,10.0,4.2,1,0,LA PAZ,CESAR,PUEBLO BELLO,COLOMBIA,NO,NO,Plantel Oficial,
324,ESTADÍSTICA,85.8,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,HOMBRE,28,10.0,4.1,1,0,LA PAZ,CESAR,PUEBLO BELLO,COLOMBIA,NO,NO,Plantel Oficial,
325,GESTIÓN CULTURAL Y COMUNICATIVA,63.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,TARJETA IDENTIDAD,MUJER,21,9.0,4.2,9,2,,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLOMBIA,NO,NO,Plantel Oficial,
326,INGENIERÍA BIOLÓGICA,58.2,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,MUJER,20,9.0,4.0,3,1,,CESAR,MANAURE BALCÓN DEL CESAR,COLOMBIA,NO,NO,Plantel Oficial,
327,BIOLOGÍA,34.6,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,TARJETA IDENTIDAD,MUJER,20,9.0,3.4,2,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
